Cell_name	Zvalue	Color	Cluster	ADRA1A	SP1
MGH36_P6_A12	NA	black	0	0.60881	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	1.7146	0
MGH36_P10_G12	NA	black	0	1.3488	0
MGH53_P2_H12	-0.172709399467	green3	2	0.53107	1.858
MGH53_P4_D10	NA	black	0	0.52005	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	1.0412	0
MGH36_P10_B12	NA	black	0	1.3288	0
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	-0.622631229743	green3	2	0.50386	2.6159
MGH54_P2_C12	NA	black	0	1.2606	0
MGH53_P4_B07	NA	black	0	1.0036	0
MGH53_P4_F09	-1.45366524806	red	1	0.58111	4.2931
MGH36_P2_H11	NA	black	0	0	2.1506
MGH36_P5_A11	NA	black	0	0.34028	0
MGH53_P1_A09	NA	black	0	1.3132	0
MGH53_P2_B02	NA	black	0	1.7242	0
MGH53_P4_E04	NA	black	0	0.64616	0
MGH53_P4_D08	NA	black	0	0.926	0
MGH36_P1_F07	0.288831319237	green3	2	0.15834	1.2041
MGH53_P2_E11	-0.424964912116	green3	2	1.8078	0.81721
MGH36_P1_G06	NA	black	0	0.38626	0
MGH36_P6_F03	NA	black	0	0.98696	0
MGH54_P2_H06	NA	black	0	2.3366	0
MGH36_P8_H12	0.796794678815	green3	2	0.48027	0.16092
MGH53_P1_B06	NA	black	0	0.66266	0
MGH53_P4_F12	NA	black	0	1.8041	0
MGH53_P4_G12	NA	black	0	1.294	0
MGH53_P2_E08	NA	black	0	1.315	0
MGH53_P1_F06	NA	black	0	1.5465	0
MGH53_P1_D02	NA	black	0	0	0.53207
MGH36_P9_D01	NA	black	0	1.6229	0
MGH36_P6_F02	NA	black	0	0.38184	0
MGH53_P2_E07	0.402717366818	green3	2	1.6727	2.4898
MGH53_P4_H08	NA	black	0	1.2738	0
MGH36_P6_F11	0.779843322588	green3	2	0.53207	0.074505
MGH36_P8_C08	0.374204766576	green3	2	0.54992	0.82863
MGH53_P2_D10	NA	black	0	1.0683	0
MGH53_P4_D03	0.371590351053	green3	2	0.76043	0.44361
MGH53_P2_C04	NA	black	0	0.54696	0
MGH53_P1_E08	NA	black	0	1.0996	0
MGH54_P2_A08	NA	black	0	0.25217	0
MGH36_P4_H07	0.448264202123	green3	2	1.3934	4.1056
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0.32539	0
MGH53_P1_E10	-0.0266812063044	green3	2	2.0946	1.537
MGH53_P2_E09	0.0829449538529	green3	2	0.42761	1.4114
MGH36_P3_C10	NA	black	0	0.52607	0
MGH53_P2_F01	-0.633960666537	green3	2	0.77231	3.3357
MGH53_P4_H05	NA	black	0	1.251	0
MGH53_P4_G10	NA	black	0	1.2073	0
MGH54_P2_D07	-0.0119531049765	green3	2	0.75189	1.5811
MGH53_P2_D09	NA	black	0	0.67717	0
MGH53_P1_D09	-0.166638233103	green3	2	1.037	2.9271
MGH54_P2_B08	NA	black	0	0.56657	0
MGH54_P2_G05	-1.32378594255	red	1	0.45838	3.6459
MGH53_P2_F06	0.24055693671	green3	2	0.69955	0.93659
MGH36_P3_E01	NA	black	0	0.78994	0
MGH36_P5_E12	NA	black	0	1.3391	0
MGH53_P4_A12	NA	black	0	0.28451	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	1.2666	0
MGH36_P3_H02	NA	black	0	1.7176	0
MGH36_P5_C10	-0.264844449243	green3	2	1.3752	0.22527
MGH54_P2_B05	NA	black	0	0.46571	0
MGH36_P2_F09	NA	black	0	1.346	0
MGH53_P4_A05	NA	black	0	0.64708	0
MGH54_P2_H10	NA	black	0	1.1596	0
MGH53_P4_E06	NA	black	0	0.774	0
MGH53_P4_D12	NA	black	0	0.86235	0
MGH54_P2_H07	0.27994028283	green3	2	1.7647	2.1047
MGH53_P2_E03	NA	black	0	0.88049	0
MGH53_P1_A05	NA	black	0	0.9855	0
MGH36_P7_D12	NA	black	0	0.29983	0
MGH53_P4_H03	NA	black	0	1.0419	0
