Cell_name	Zvalue	Color	Cluster	CHEK1	MYC
MGH36_P6_A12	NA	black	0	0	2.4821
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	1.4797	0
MGH53_P4_D10	NA	black	0	0	4.892
MGH53_P4_D01	NA	black	0	0.83754	0
MGH36_P6_B07	NA	black	0	0.26424	0
MGH36_P10_B12	NA	black	0	0.33342	0
MGH53_P2_G11	NA	black	0	0.28096	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0.16479	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0	3.5274
MGH36_P2_H11	NA	black	0	0.16479	0
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0.37518	0
MGH53_P2_B02	NA	black	0	0	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0.64616	0
MGH36_P1_F07	1.37539852683	green3	2	0.053806	0.63784
MGH53_P2_E11	NA	black	0	0.44679	0
MGH36_P1_G06	NA	black	0	0.088142	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	NA	black	0	0	0.82212
MGH53_P1_B06	NA	black	0	0.31846	0
MGH53_P4_F12	NA	black	0	0.28214	0
MGH53_P4_G12	NA	black	0	0.02148	0
MGH53_P2_E08	NA	black	0	0.69332	0
MGH53_P1_F06	-0.315305430827	red	1	0.76638	5.8165
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	0.67627	0
MGH53_P4_H08	NA	black	0	0	0
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	NA	black	0	0.24732	0
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	NA	black	0	0	4.2844
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	0
MGH36_P4_H07	-1.50861637154	red	1	0.26063	7.8082
MGH36_P9_D06	NA	black	0	0	0
