Cell_name	Zvalue	Color	Cluster	CREB1	ODC1
MGH36_P6_A12	NA	black	0	0	1.4647
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0.24123	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0.042644	0
MGH53_P4_D10	NA	black	0	0.10434	0
MGH53_P4_D01	NA	black	0	0.29631	0
MGH36_P6_B07	NA	black	0	0.13619	0
MGH36_P10_B12	NA	black	0	0.18903	0
MGH53_P2_G11	NA	black	0	0.15834	0
MGH53_P1_E04	NA	black	0	0.97306	0
MGH54_P2_C12	NA	black	0	0	0
MGH53_P4_B07	NA	black	0	0.08134	0
MGH53_P4_F09	NA	black	0	0.13225	0
MGH36_P2_H11	0.756685319728	red	1	0.36065	1.7895
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0.21537	0
MGH53_P2_B02	NA	black	0	0.082703	0
MGH53_P4_E04	NA	black	0	0.59646	0
MGH53_P4_D08	NA	black	0	0.067639	0
MGH36_P1_F07	NA	black	0	0	0
MGH53_P2_E11	NA	black	0	1.4265	0
MGH36_P1_G06	NA	black	0	0.048236	0
MGH36_P6_F03	NA	black	0	0.071763	0
MGH54_P2_H06	NA	black	0	0.22404	0
MGH36_P8_H12	-0.0910488472334	red	1	0.12565	3.6447
MGH53_P1_B06	NA	black	0	3.26	0
MGH53_P4_F12	NA	black	0	0.23756	0
MGH53_P4_G12	NA	black	0	1.5787	0
MGH53_P2_E08	1.37829725334	red	1	0.22157	0.85599
MGH53_P1_F06	0.229488520339	red	1	0.066261	3.1027
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	2.9379	0
MGH36_P6_F02	NA	black	0	0.1903	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	1.7381	0
MGH36_P6_F11	NA	black	0	0.096262	0
MGH36_P8_C08	NA	black	0	1.8695	0
MGH53_P2_D10	3.09383607098	black	0	2.5175	7.7059
MGH53_P4_D03	-0.216385124974	red	1	0.83269	4.653
MGH53_P2_C04	NA	black	0	0	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0.1137	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0.31383	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	-0.324307711591	red	1	0.29983	4.1699
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	2.16	0
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0.88518	0
