Cell_name	Zvalue	Color	Cluster	CIITA	USF1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	-0.284598821733	red	1	0.25096	6.7863
MGH36_P10_G12	NA	black	0	4.1007	0
MGH53_P2_H12	0.66339474649	blue	3	0.062122	1.7155
MGH53_P4_D10	NA	black	0	0.26303	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0.15704	0
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	1.3896	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	3.1686	0
MGH53_P4_B07	NA	black	0	0.58111	0
MGH53_P4_F09	NA	black	0	0.13356	0
MGH36_P2_H11	1.10823235196	black	0	1.3144	5.0073
MGH36_P5_A11	5.48541337062	black	0	2.7512	6.1036
MGH53_P1_A09	-7.27297630056	black	0	3.3	1.7194
MGH53_P2_B02	NA	black	0	0.32654	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0	0
MGH36_P1_F07	0.659098612312	blue	3	0.044044	1.8711
MGH53_P2_E11	NA	black	0	0.27143	0
MGH36_P1_G06	-6.16268331407	black	0	5.0551	2.7755
MGH36_P6_F03	NA	black	0	3.0077	0
MGH54_P2_H06	NA	black	0	0.43723	0
MGH36_P8_H12	0.623526382098	blue	3	1.884	4.3506
MGH53_P1_B06	NA	black	0	0.1903	0
MGH53_P4_F12	NA	black	0	0.514	0
MGH53_P4_G12	NA	black	0	0	0.32308
MGH53_P2_E08	NA	black	0	1.7908	0
MGH53_P1_F06	NA	black	0	1.4823	0
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	0.00231353833808	red	1	1.4054	3.9748
MGH36_P6_F02	NA	black	0	4.6452	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	2.3909	0
MGH36_P6_F11	NA	black	0	3.9036	0
MGH36_P8_C08	NA	black	0	3.3566	0
MGH53_P2_D10	NA	black	0	0.2302	0
MGH53_P4_D03	-0.13998961171	red	1	0.20038	4.8708
MGH53_P2_C04	NA	black	0	5.0539	0
MGH53_P1_E08	NA	black	0	0.61824	0
MGH54_P2_A08	4.83047650611	black	0	3.2475	5.5538
MGH36_P4_H07	NA	black	0	0.30217	0
MGH36_P9_D06	NA	black	0	1.4828	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	-1.4730762888	black	0	3.9972	3.6391
MGH36_P3_C10	-0.255828645884	red	1	0.123	5.0264
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	3.4779	0
MGH53_P4_G10	0.93030215709	black	0	2.5578	4.3799
MGH54_P2_D07	1.32737959486	black	0	0.71984	7.1759
MGH53_P2_D09	NA	black	0	0.301	0
MGH53_P1_D09	NA	black	0	0	0
MGH54_P2_B08	NA	black	0	0	4.3783
MGH54_P2_G05	-1.92530802627	black	0	0.97453	1.2327
MGH53_P2_F06	NA	black	0	0.58976	0
MGH36_P3_E01	NA	black	0	0.094912	0
MGH36_P5_E12	NA	black	0	2.2262	0
MGH53_P4_A12	NA	black	0	0.50792	0
MGH36_P9_F01	NA	black	0	3.7108	0
MGH36_P3_H10	0.633983781136	blue	3	0.72421	5.4619
MGH36_P3_H02	NA	black	0	2.0594	0
MGH36_P5_C10	-0.157746594542	red	1	0.1635	4.7696
