Cell_name	Zvalue	Color	Cluster	BRCA1	EZH2
MGH36_P6_A12	NA	black	0	0	2.1257
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0.15834	0
MGH53_P4_D10	NA	black	0	0.34369	0
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0	0
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0.12433	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	NA	black	0	0.31499	0
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0.45838	0
MGH53_P2_B02	NA	black	0	0.37407	0
MGH53_P4_E04	NA	black	0	0.33228	0
MGH53_P4_D08	0.305386076804	green3	2	0.18015	1.067
MGH36_P1_F07	NA	black	0	0.075875	0
MGH53_P2_E11	NA	black	0	0.62574	0
MGH36_P1_G06	NA	black	0	0	0
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	NA	black	0	0.2916	0
MGH36_P8_H12	NA	black	0	0	0
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0.18396	0
MGH53_P4_G12	NA	black	0	0.28688	0
MGH53_P2_E08	NA	black	0	0	0
MGH53_P1_F06	NA	black	0	0	0
MGH53_P1_D02	NA	black	0	0	1.2085
MGH36_P9_D01	NA	black	0	0.50487	0
MGH36_P6_F02	NA	black	0	3.6448	0
MGH53_P2_E07	NA	black	0	0	0
MGH53_P4_H08	NA	black	0	0.14666	0
MGH36_P6_F11	NA	black	0	0	0
MGH36_P8_C08	NA	black	0	0	0
MGH53_P2_D10	NA	black	0	0	0.65718
MGH53_P4_D03	NA	black	0	0.25217	0
MGH53_P2_C04	NA	black	0	0	0
MGH53_P1_E08	NA	black	0	0.42223	0
MGH54_P2_A08	NA	black	0	0.40599	0
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	6.404
MGH53_P1_E10	NA	black	0	0	0
MGH53_P2_E09	NA	black	0	0.38626	0
MGH36_P3_C10	NA	black	0	0.29278	0
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	4.7551	0
MGH53_P4_G10	NA	black	0	0.27977	0
MGH54_P2_D07	NA	black	0	0.15186	0
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	NA	black	0	0	0
MGH54_P2_B08	NA	black	0	0	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	0.327303937855	green3	2	0.32884	0.45101
MGH36_P3_E01	NA	black	0	0.2302	0
MGH36_P5_E12	NA	black	0	0.38294	0
MGH53_P4_A12	NA	black	0	0.16092	0
MGH36_P9_F01	NA	black	0	0	0.93734
MGH36_P3_H10	NA	black	0	0	0
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	NA	black	0	0.46989	0
MGH54_P2_B05	NA	black	0	0	0
MGH36_P2_F09	NA	black	0	0.07861	0
MGH53_P4_A05	NA	black	0	0.1635	0
MGH54_P2_H10	0.213207188722	green3	2	0.14012	1.4547
MGH53_P4_E06	NA	black	0	0.22404	0
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0.29042	0
MGH53_P2_E03	NA	black	0	0.21909	0
MGH53_P1_A05	NA	black	0	0.12565	0
MGH36_P7_D12	NA	black	0	0.1137	0
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	1.3618
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0.31267	0
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	0
MGH36_P4_C09	NA	black	0	0.24489	0
MGH36_P5_C08	NA	black	0	0.21288	0
MGH36_P4_H06	NA	black	0	0.21039	0
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	NA	black	0	0.18015	0
MGH53_P2_C10	NA	black	0	0.15445	0
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	0.489204432757	green3	2	0.1137	0.55287
MGH54_P2_A09	NA	black	0	3.7669	0
MGH36_P6_H11	NA	black	0	0.21288	0
MGH53_P2_E12	NA	black	0	0.46048	0
MGH53_P1_F08	NA	black	0	0	0
MGH36_P6_D12	NA	black	0	0.18903	0
MGH36_P2_H09	NA	black	0	0.20664	0
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0.2857	0
MGH36_P5_G05	NA	black	0	0.077243	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	4.2956	0
MGH36_P6_B09	NA	black	0	1.0222	0
MGH54_P2_D09	NA	black	0	0	0.19156
MGH53_P1_E06	NA	black	0	0	1.6498
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	0.24853	0
MGH53_P4_G06	NA	black	0	0.15186	0
MGH36_P8_F01	NA	black	0	0.40926	0
MGH36_P9_F06	NA	black	0	2.7566	0
MGH36_P5_H04	NA	black	0	0.056584	0
MGH53_P1_B03	NA	black	0	0.13619	0
MGH53_P2_D05	NA	black	0	0.54794	0
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	NA	black	0	0.23756	0
MGH53_P4_C02	NA	black	0	0.1865	0
MGH53_P4_F04	NA	black	0	0	1.7203
MGH36_P3_D10	NA	black	0	0.41359	0
MGH54_P2_F04	NA	black	0	0	0.39726
MGH36_P6_A03	NA	black	0	0.20914	0
MGH53_P1_F07	NA	black	0	0.17377	0
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	3.1489	0
MGH53_P2_G03	NA	black	0	0	0
MGH36_P3_F04	NA	black	0	0.15575	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	0.131213179569	green3	2	0.21909	1.6649
MGH53_P2_E02	NA	black	0	0.11902	0
MGH54_P2_F09	NA	black	0	0.11902	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0.14143	0
MGH53_P2_H09	NA	black	0	0.14012	0
MGH54_P2_F07	NA	black	0	0	0
MGH36_P5_D10	NA	black	0	0.14405	0
MGH54_P2_F11	NA	black	0	0.22033	0
MGH53_P2_H04	NA	black	0	0.27023	0
MGH36_P6_F09	NA	black	0	0.27023	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	-0.103559613497	green3	2	0.30334	2.5502
MGH54_P2_A07	NA	black	0	0.24367	0
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0.17505	0
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	0	0
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0.47612	0
MGH53_P4_H07	NA	black	0	0	0
MGH53_P2_C06	NA	black	0	0	0
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	NA	black	0	0.13356	0
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0.10299	0
MGH36_P4_D06	NA	black	0	0.11503	0
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	NA	black	0	0	0
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0.17377	0
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0.18015	0
MGH54_P2_A03	NA	black	0	0	0.98477
MGH53_P4_E10	NA	black	0	0	0
MGH54_P2_D08	NA	black	0	0	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0.25701	0
MGH53_P1_B10	NA	black	0	0	0
MGH53_P2_F08	0.504346491143	green3	2	5.0594	2.8414
MGH36_P10_A01	NA	black	0	0.26664	0
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	NA	black	0	0	0
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	NA	black	0	0.19156	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	0
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0.31034	0
MGH53_P4_H09	NA	black	0	0	0
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0.19409	0
MGH53_P1_A12	NA	black	0	0.20163	0
MGH36_P8_F08	NA	black	0	0.14012	0
MGH53_P1_D10	0.430080353438	green3	2	0.24001	0.33228
MGH53_P4_A09	NA	black	0	0	0
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0.40381	0
MGH53_P4_C08	NA	black	0	0.25096	0
MGH36_P5_E04	NA	black	0	0	0
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	0.097611	0
MGH36_P7_E06	NA	black	0	0	0
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	NA	black	0	3.884	0
MGH36_P8_F06	NA	black	0	0	1.8734
MGH36_P1_G11	NA	black	0	0	0
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0.10299	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0.09356	0
MGH53_P4_B03	NA	black	0	0	0
MGH53_P1_F10	NA	black	0	0	0
MGH53_P4_B05	NA	black	0	0	0
MGH53_P2_B08	NA	black	0	0	0
MGH36_P3_B06	NA	black	0	0.32423	0
MGH36_P10_C02	NA	black	0	0.28924	0
MGH36_P2_E05	NA	black	0	0.18269	0
MGH54_P2_G09	NA	black	0	0	0
MGH54_P2_D12	NA	black	0	0	0
MGH53_P2_H02	0.643296568467	green3	2	0.079975	0.10702
MGH36_P8_F11	NA	black	0	0.052416	0
MGH53_P2_A10	NA	black	0	0	0
MGH54_P2_E09	NA	black	0	0.10568	0
MGH36_P3_H06	NA	black	0	0.22033	0
MGH36_P5_D05	NA	black	0	0.20414	0
