Cell_name	Zvalue	Color	Cluster	MYC	RBL1
MGH36_P6_A12	NA	black	0	2.4821	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	NA	black	0	0	0.048236
MGH53_P4_D10	-0.373907167215	red	1	4.892	0.3505
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	0	0.43296
MGH36_P10_B12	NA	black	0	0	0
MGH53_P2_G11	NA	black	0	0	0.39726
MGH53_P1_E04	NA	black	0	0	0
MGH54_P2_C12	NA	black	0	0	0.20789
MGH53_P4_B07	NA	black	0	0	0.55483
MGH53_P4_F09	-0.0269075565068	red	1	3.5274	0.41143
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0	0.76043
MGH53_P1_A09	NA	black	0	0	0.83835
MGH53_P2_B02	NA	black	0	0	0.15186
MGH53_P4_E04	NA	black	0	0	0.53107
MGH53_P4_D08	NA	black	0	0	0.28806
MGH36_P1_F07	1.01473958546	green3	2	0.63784	0.056584
MGH53_P2_E11	NA	black	0	0	0.54696
MGH36_P1_G06	NA	black	0	0	0.49467
MGH36_P6_F03	NA	black	0	0	0.39287
MGH54_P2_H06	NA	black	0	0	0
MGH36_P8_H12	0.562187117612	red	1	0.82212	0.35389
MGH53_P1_B06	NA	black	0	0	0
MGH53_P4_F12	NA	black	0	0	0.36177
MGH53_P4_G12	NA	black	0	0	3.3077
MGH53_P2_E08	NA	black	0	0	3.0505
MGH53_P1_F06	-0.873220721374	red	1	5.8165	0.14926
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0.71984
MGH53_P2_E07	NA	black	0	0	0.45733
MGH53_P4_H08	NA	black	0	0	0.37072
MGH36_P6_F11	NA	black	0	0	0.71017
MGH36_P8_C08	NA	black	0	0	0
MGH53_P2_D10	NA	black	0	0	0
MGH53_P4_D03	NA	black	0	0	0.44996
MGH53_P2_C04	-0.309989753534	red	1	4.2844	0.15445
MGH53_P1_E08	NA	black	0	0	0.36401
MGH54_P2_A08	NA	black	0	0	0.13093
MGH36_P4_H07	-1.57613759898	black	0	7.8082	0.18142
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	NA	black	0	0	0.33342
MGH53_P2_E09	NA	black	0	0	0.23879
MGH36_P3_C10	NA	black	0	0	0.36177
MGH53_P2_F01	NA	black	0	0	0.20289
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	-0.391957304773	red	1	4.48	0.13225
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	0.746737568972	green3	2	0.71633	0.23389
MGH54_P2_B08	NA	black	0	0	1.6713
MGH54_P2_G05	NA	black	0	0	0.12697
MGH53_P2_F06	NA	black	0	0	0.30918
MGH36_P3_E01	NA	black	0	0	0.35389
MGH36_P5_E12	NA	black	0	0	0.21785
MGH53_P4_A12	NA	black	0	0	0.42975
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	2.1124
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	NA	black	0	0	0.34028
MGH54_P2_B05	-0.400949299684	red	1	4.5024	0.13093
MGH36_P2_F09	-0.942176666033	red	1	6.3924	0.2461
MGH53_P4_A05	NA	black	0	0	0.17121
MGH54_P2_H10	NA	black	0	0	0
MGH53_P4_E06	NA	black	0	0	0.46048
MGH53_P4_D12	NA	black	0	0	0.14274
MGH54_P2_H07	NA	black	0	0	0.41251
MGH53_P2_E03	-0.0919158584602	red	1	4.4218	0.65444
MGH53_P1_A05	0.245252476872	red	1	2.6886	0.123
MGH36_P7_D12	NA	black	0	0	0.14012
MGH53_P4_H03	NA	black	0	0	0.25338
MGH53_P2_E05	0.281548079496	red	1	0.67987	0.57628
MGH36_P4_H11	NA	black	0	0	0.32769
MGH53_P1_B01	NA	black	0	3.2951	0
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	0.35276
MGH36_P4_C09	NA	black	0	0	0.21164
MGH36_P5_C08	NA	black	0	0	0.24732
MGH36_P4_H06	0.0194632164536	red	1	4.9968	0.86315
MGH36_P10_E01	NA	black	0	0	0.22527
MGH36_P8_E12	NA	black	0	2.9811	0
MGH53_P2_C10	NA	black	0	0	0.13488
MGH36_P4_H08	NA	black	0	0	0.19283
MGH36_P7_F07	-0.152663636204	red	1	3.9164	0.2558
MGH54_P2_A09	-0.339479054954	red	1	4.6222	0.29514
MGH36_P6_H11	0.562482422229	red	1	0.80571	0.35614
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	NA	black	0	0	0.39944
MGH36_P6_D12	0.174604367344	red	1	2.8602	0.16607
