Cell_name	Zvalue	Color	Cluster	BCL2L11	CREB1
MGH36_P6_A12	NA	black	0	0	0
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0	0.24123
MGH36_P10_G12	NA	black	0	0	0
MGH53_P2_H12	0.0125499464886	green3	2	1.1421	0.042644
MGH53_P4_D10	NA	black	0	0	0.10434
MGH53_P4_D01	NA	black	0	0	0.29631
MGH36_P6_B07	NA	black	0	0	0.13619
MGH36_P10_B12	NA	black	0	0	0.18903
MGH53_P2_G11	NA	black	0	0	0.15834
MGH53_P1_E04	NA	black	0	0	0.97306
MGH54_P2_C12	NA	black	0	1.6781	0
MGH53_P4_B07	NA	black	0	0	0.08134
MGH53_P4_F09	NA	black	0	0	0.13225
MGH36_P2_H11	NA	black	0	0	0.36065
MGH36_P5_A11	NA	black	0	0	0
MGH53_P1_A09	NA	black	0	0	0.21537
MGH53_P2_B02	0.667653873604	green3	2	0.14926	0.082703
MGH53_P4_E04	NA	black	0	0	0.59646
MGH53_P4_D08	NA	black	0	0	0.067639
MGH36_P1_F07	NA	black	0	0	0
MGH53_P2_E11	NA	black	0	0	1.4265
MGH36_P1_G06	NA	black	0	0	0.048236
MGH36_P6_F03	NA	black	0	0	0.071763
MGH54_P2_H06	NA	black	0	0	0.22404
MGH36_P8_H12	NA	black	0	0	0.12565
MGH53_P1_B06	NA	black	0	0	3.26
MGH53_P4_F12	NA	black	0	0	0.23756
MGH53_P4_G12	-0.447535743422	green3	2	0.123	1.5787
MGH53_P2_E08	NA	black	0	0	0.22157
MGH53_P1_F06	NA	black	0	0	0.066261
MGH53_P1_D02	NA	black	0	0	0
MGH36_P9_D01	NA	black	0	0	2.9379
MGH36_P6_F02	NA	black	0	0	0.1903
MGH53_P2_E07	NA	black	0	0.39944	0
MGH53_P4_H08	NA	black	0	0	1.7381
MGH36_P6_F11	NA	black	0	0	0.096262
MGH36_P8_C08	NA	black	0	0	1.8695
MGH53_P2_D10	NA	black	0	0	2.5175
MGH53_P4_D03	NA	black	0	0	0.83269
MGH53_P2_C04	NA	black	0	0	0
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0	0.1137
MGH36_P4_H07	NA	black	0	0	0
MGH36_P9_D06	NA	black	0	0	0.31383
MGH53_P4_C04	NA	black	0	0	0
MGH53_P1_E10	0.4411529218	green3	2	0.2916	0.29983
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0.11636	0
MGH53_P2_F01	1.78916643994	blue	3	3.4521	2.16
MGH53_P4_H05	NA	black	0	3.8935	0
MGH53_P4_G10	NA	black	0	0	0.88518
MGH54_P2_D07	NA	black	0	0	0.063503
MGH53_P2_D09	NA	black	0	0	0
MGH53_P1_D09	0.277431318705	green3	2	0.15834	0.6173
MGH54_P2_B08	NA	black	0	0	0.16479
MGH54_P2_G05	NA	black	0	0	2.5452
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	NA	black	0	0	0.13356
MGH36_P5_E12	0.768985519837	green3	2	0.0229	0.05797
MGH53_P4_A12	NA	black	0	0	0.070389
MGH36_P9_F01	NA	black	0	0	0.36065
MGH36_P3_H10	NA	black	0	0	0
MGH36_P3_H02	NA	black	0	0.91456	0
MGH36_P5_C10	0.51192855953	green3	2	0.094912	0.33342
MGH54_P2_B05	NA	black	0	0	0.086784
MGH36_P2_F09	NA	black	0	0	0
MGH53_P4_A05	NA	black	0	0	0.060739
