Cell_name	Zvalue	Color	Cluster	HDAC2	MYC
MGH36_P6_A12	NA	black	0	0	2.4821
MGH36_P6_H09	NA	black	0	3.6588	0
MGH53_P4_G04	NA	black	0	0.34255	0
MGH36_P10_G12	NA	black	0	0.44042	0
MGH53_P2_H12	NA	black	0	0	0
MGH53_P4_D10	NA	black	0	0	4.892
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	NA	black	0	2.0625	0
MGH36_P10_B12	NA	black	0	4.3947	0
MGH53_P2_G11	NA	black	0	0.2302	0
MGH53_P1_E04	NA	black	0	3.9798	0
MGH54_P2_C12	NA	black	0	0	0
MGH53_P4_B07	NA	black	0	0	0
MGH53_P4_F09	-0.0798178276226	green3	2	0.2302	3.5274
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0.14143	0
MGH53_P1_A09	NA	black	0	0	0
MGH53_P2_B02	NA	black	0	0.22033	0
MGH53_P4_E04	NA	black	0	0	0
MGH53_P4_D08	NA	black	0	0.36177	0
MGH36_P1_F07	-0.591122102907	green3	2	3.1551	0.63784
MGH53_P2_E11	NA	black	0	0.22033	0
MGH36_P1_G06	NA	black	0	0.10434	0
MGH36_P6_F03	NA	black	0	4.6323	0
MGH54_P2_H06	NA	black	0	2.8069	0
MGH36_P8_H12	2.13813229049	black	0	0.34028	0.82212
MGH53_P1_B06	NA	black	0	0.14143	0
MGH53_P4_F12	NA	black	0	0.48852	0
MGH53_P4_G12	NA	black	0	0.86394	0
MGH53_P2_E08	NA	black	0	1.5636	0
MGH53_P1_F06	-2.1983711537	black	0	0.097611	5.8165
MGH53_P1_D02	NA	black	0	2.8345	0
MGH36_P9_D01	NA	black	0	0	0
MGH36_P6_F02	NA	black	0	0	0
MGH53_P2_E07	NA	black	0	4.6952	0
MGH53_P4_H08	NA	black	0	2.1496	0
MGH36_P6_F11	NA	black	0	0.16479	0
MGH36_P8_C08	NA	black	0	0.25822	0
MGH53_P2_D10	NA	black	0	4.2535	0
MGH53_P4_D03	NA	black	0	0.27501	0
MGH53_P2_C04	0.639096277316	green3	2	4.7937	4.2844
MGH53_P1_E08	NA	black	0	0.24975	0
